target,source,weight
GCLC,Nucleus,0.846217713
NFYA,Nucleus,0.317604203
NIPAL3,Nucleus,-0.388236784
ENPP4,Nucleus,0.167408603
SEMA3F,Nucleus,0.331924384
CD99,Nucleus,-0.894381539
LASP1,Nucleus,-0.481626953
M6PR,Nucleus,0.047576545
CFLAR,Nucleus,0.900405547
NDUFAF7,Nucleus,0.66322515
RBM5,Nucleus,1.760755983
SLC7A2,Nucleus,0.686737912
SARM1,Nucleus,0.724724678
CAMKK1,Nucleus,0.940083255
RECQL,Nucleus,-0.355294863
ARHGAP33,Nucleus,0.996317937
CDC27,Nucleus,-0.129754471
SPPL2B,Nucleus,2.125245216
CREBBP,Nucleus,0.351721442
GCFC2,Nucleus,0.022367422
RHBDD2,Nucleus,-0.866408118
IBTK,Nucleus,0.049407747
ZNF195,Nucleus,1.452772311
MYCBP2,Nucleus,0.317310398
ZFX,Nucleus,0.472161452
LAMP2,Nucleus,-0.534182572
GDE1,Nucleus,-0.719682523
TMEM98,Nucleus,-0.926017158
TMEM132A,Nucleus,0.943999541
ZNF263,Nucleus,0.67216026
MAP3K9,Nucleus,0.857719835
JHDM1D,Nucleus,1.106052437
PHTF2,Nucleus,0.250274449
FARP2,Nucleus,0.782347494
IFRD1,Nucleus,1.054913434
ARHGAP44,Nucleus,0.458779292
ELAC2,Nucleus,-0.376053312
ADIPOR2,Nucleus,-0.261249321
PAFAH1B1,Nucleus,0.287627368
KIAA0100,Nucleus,-0.604437451
PAX6,Nucleus,0.986641605
LUC7L,Nucleus,1.136883994
CACNA2D2,Nucleus,-0.107551161
PIGQ,Nucleus,1.14700461
CRAMP1L,Nucleus,1.064421787
JARID2,Nucleus,0.68585775
ADAM22,Nucleus,0.971205462
CYB561,Nucleus,-0.502831213
SPAG9,Nucleus,0.001792004
CELSR3,Nucleus,0.989502677
AASS,Nucleus,0.30224851
PKD1,Nucleus,1.479786424
SEC62,Nucleus,-0.353635532
REV3L,Nucleus,0.368421291
POMT2,Nucleus,0.459642969
BAZ1B,Nucleus,0.200535268
ZNF207,Nucleus,0.644596817
IFFO1,Nucleus,0.88888164
NISCH,Nucleus,1.83390133
IDS,Nucleus,0.146370883
CLCN6,Nucleus,1.703016742
MRC2,Nucleus,0.369987959
TSPAN9,Nucleus,0.234395256
BTBD7,Nucleus,0.371760309
MBTD1,Nucleus,0.600964378
LARS2,Nucleus,-0.388845628
PIK3C2A,Nucleus,0.384641212
ANLN,Nucleus,-0.18266804
QPCTL,Nucleus,0.885235811
MAP4K3,Nucleus,0.262865963
BRCA1,Nucleus,-0.161551976
MBTPS2,Nucleus,-0.697781761
EXTL3,Nucleus,-0.478933496
ELOVL5,Nucleus,-0.438757844
MAP4K5,Nucleus,0.49732957
MAN2B2,Nucleus,0.184717637
CLK1,Nucleus,1.683731157
ANGEL1,Nucleus,0.138726347
DDX11,Nucleus,1.400537661
UFL1,Nucleus,0.263042822
SLC30A9,Nucleus,-0.327744598
COX15,Nucleus,-0.275994654
ZMYND11,Nucleus,0.531140188
XYLT2,Nucleus,0.66174516
NUDCD3,Nucleus,0.315238148
CHDH,Nucleus,0.492720118
GLT8D1,Nucleus,0.019789263
ATP2C1,Nucleus,-0.689616721
RALBP1,Nucleus,-0.077679397
CNTN1,Nucleus,-1.190984278
PHLDB1,Nucleus,0.188652401
MRE11A,Nucleus,0.90043898
SPAST,Nucleus,-0.706444426
NRXN3,Nucleus,-0.103341715
CPS1,Nucleus,-1.00069079
SLC45A4,Nucleus,0.354369431
ZNF839,Nucleus,1.574794251
ZDHHC6,Nucleus,0.52068845
RNH1,Nucleus,0.498081174
RB1CC1,Nucleus,-0.225759091
ERP44,Nucleus,-0.805539843
AKAP11,Nucleus,0.330707233
GCLM,Nucleus,0.26782355
DEPDC1,Nucleus,0.038624272
SEC63,Nucleus,-0.266881367
FAS,Nucleus,-1.430007996
RNASET2,Nucleus,0.98534833
AGPAT4,Nucleus,1.204664416
MIPEP,Nucleus,-0.561404105
VEZT,Nucleus,-0.454297915
BRD9,Nucleus,1.543506759
SNX1,Nucleus,0.758458893
BCLAF1,Nucleus,0.34467479
SLC39A9,Nucleus,-0.091666708
RABEP1,Nucleus,-0.009572738
FAM13B,Nucleus,0.297245981
PNPLA6,Nucleus,-0.795320642
ZCCHC8,Nucleus,1.079944769
CHPF2,Nucleus,0.764739411
FUT8,Nucleus,-0.801692745
UBA6,Nucleus,-0.123733973
ATP6V0A1,Nucleus,0.339817914
SLC4A7,Nucleus,0.816873073
VCL,Nucleus,-0.385330971
ADSS,Nucleus,-0.18096599
TIMP2,Nucleus,-0.431841647
RFC1,Nucleus,-0.051305764
ZZZ3,Nucleus,0.028363381
MFAP3,Nucleus,-0.270903702
MRI1,Nucleus,1.332033523
AGA,Nucleus,-0.567250595
BOD1L1,Nucleus,0.637930208
TRIO,Nucleus,0.795596739
VCAN,Nucleus,-0.716156533
CLEC16A,Nucleus,0.03213073
ZFYVE16,Nucleus,0.36268231
RAI14,Nucleus,-0.102623472
PNKP,Nucleus,1.532711072
PQLC2,Nucleus,-0.392659035
CTNS,Nucleus,-0.146329477
INPP4A,Nucleus,0.735244999
RETSAT,Nucleus,0.155454171
CUL7,Nucleus,0.252819783
PHKA2,Nucleus,1.159886976
DSG2,Nucleus,-0.427782353
OFD1,Nucleus,0.801487241
GPM6B,Nucleus,-0.752619729
YTHDC2,Nucleus,0.882597479
TPR,Nucleus,0.178197504
SCML1,Nucleus,1.151608394
MAP4,Nucleus,0.251515267
GOPC,Nucleus,0.37290344
ZNF800,Nucleus,0.169917042
SNX29,Nucleus,-0.367004543
KITLG,Nucleus,-0.359318019
H6PD,Nucleus,0.802974928
LTBP1,Nucleus,-1.054945531
RCN1,Nucleus,-0.357873444
PTCD2,Nucleus,1.95216501
LIMA1,Nucleus,-0.354496115
LETMD1,Nucleus,1.368759764
POLQ,Nucleus,0.453721518
MPHOSPH9,Nucleus,0.9301328
PLEKHA5,Nucleus,-0.185811995
SIKE1,Nucleus,0.801930551
MSMO1,Nucleus,-0.578589949
TTC17,Nucleus,0.343519419
LAMA3,Nucleus,0.425998226
AP5M1,Nucleus,0.478232728
ANAPC4,Nucleus,0.819665718
ARID4B,Nucleus,0.130519624
SDCCAG8,Nucleus,-0.095860807
FOXC1,Nucleus,-0.087891584
PLEKHH1,Nucleus,1.001477944
ATP9A,Nucleus,-0.22530223
FAM168A,Nucleus,0.780970148
RELT,Nucleus,1.624798692
NOP58,Nucleus,0.780905308
TAB2,Nucleus,-0.452940354
USP36,Nucleus,1.095997787
KMT2C,Nucleus,0.792154107
MCOLN3,Nucleus,1.729775168
PUM2,Nucleus,0.396262597
RC3H2,Nucleus,0.229665933
DCBLD2,Nucleus,-0.211885324
SOAT1,Nucleus,-0.323403409
ATP11B,Nucleus,0.204163226
SEC61A1,Nucleus,-0.414048681
PPP1R12A,Nucleus,0.353513921
POLR3E,Nucleus,0.879157291
ATP2B4,Nucleus,0.129481408
ZC3H11A,Nucleus,0.407237182
NDC1,Nucleus,-0.42928924
UNKL,Nucleus,1.841533243
ALDH18A1,Nucleus,-0.550217003
TARBP1,Nucleus,1.5386848
WNK1,Nucleus,-0.09594146
CCAR1,Nucleus,0.535255504
PTPRU,Nucleus,-0.398558075
QSER1,Nucleus,0.141867347
BCAT1,Nucleus,0.291945349
PRDM6,Nucleus,1.70200678
TNK2,Nucleus,1.536835321
MON2,Nucleus,0.340816832
GPBP1,Nucleus,0.256064742
WAPAL,Nucleus,-0.112172993
VMP1,Nucleus,-0.992696412
APPBP2,Nucleus,0.095187461
AHRR,Nucleus,1.426746661
ZNF275,Nucleus,1.18033558
MTMR1,Nucleus,0.281548071
GPC1,Nucleus,0.176880621
TM7SF3,Nucleus,-0.86081536
CDON,Nucleus,0.143055482
HIPK2,Nucleus,0.557315079
SUGP2,Nucleus,1.529150558
SLC12A2,Nucleus,0.004210534
HMG20B,Nucleus,1.027594504
UHRF1BP1,Nucleus,0.469283094
PKN2,Nucleus,0.104567118
TRAM2,Nucleus,0.563893904
NTN1,Nucleus,0.101992123
ADAT1,Nucleus,0.45048627
SPEN,Nucleus,0.504681985
MAP2K4,Nucleus,-0.31544436
SLK,Nucleus,-0.02901927
