source,target,weight
ER,GRM4,-0.473584409945523
ER,APOB,0.672270050339723
ER,LANCL3,-0.580126488244442
ER,MRVI1,-0.298129384813611
ER,UNC80,0.339533228140489
ER,BHLHE22,0.0970777930287041
ER,PDE3A,0.242642889094449
ER,HEMGN,0.245681303286698
ER,PCDH10,0.0955747773723703
ER,GLUL,-0.000178222658225021
ER,ATP6AP1L,-0.174293525390843
ER,PRKCB,-0.243641469802397
ER,CACNG3,-0.143411595528755
ER,GLRA3,-0.246990400565713
ER,CYP3A4,0.656625467640189
ER,PCK1,0.253549672578629
ER,GRIA3,0.409971548697057
ER,TTC6,-0.393126342563752
ER,GUCY1A2,-0.361908495968269
ER,C10orf126,-0.491508446867162
ER,CHRM2,0.218822142060723
ER,BCR,0.323484821589267
ER,TDRD1,0.482246022748971
ER,PRDM6,0.425017879492958
ER,CSF3R,0.57704115632912
ER,SVEP1,0.524413451176554
ER,SUMF1,-0.19855105406597
ER,ZNF23,0.427201832465233
ER,FCGBP,0.0537902372671192
ER,NTRK3,0.254428178113546
ER,PCDHGA12,0.403251771727537
ER,TNNI1,0.0999547278049699
ER,CLIC6,0.0285017407766952
ER,SLC5A12,-0.123676759639456
ER,PPP2R2B,0.571202662711114
ER,STPG2,-0.00776449517024941
ER,RADIL,0.0125263000776153
ER,KIF26B,-0.401067569493229
ER,PON1,-0.0271166761549031
ER,KLF17,0.090566547200986
ER,GLDN,0.900430146381358
ER,GDF6,-0.0804820624156965
ER,ESRRG,-0.583503894536079
ER,KRT76,-0.239495497907943
ER,MALL,-0.0791465152477325
ER,FAM87A,-0.150815162728684
ER,ABCG5,0.68282708321119
ER,XIRP2,-0.0865127919009614
ER,ENPP2,-0.090484617522216
ER,CDHR3,-0.240927479697161
ER,NPC1L1,0.0221189365300083
ER,CLRN1,0.197971145924222
ER,TEKT2,0.115710403997961
ER,PRDM14,0.508823134218767
ER,PCAT5,-0.045503553219693
ER,SLC30A10,-0.291461178746829
ER,TNFRSF11A,1.05860471744784
ER,DPP6,-0.511070896742629
ER,TEX41,0.445905006254194
ER,IRAK3,-0.0159476958081869
ER,VSTM2A,0.219133283575642
ER,CAGE1,0.096260111298806
ER,VRTN,0.0320300173105923
ER,FAT3,0.641318834626167
ER,SUPT20HL1,0.157806496189387
ER,FAM83C,0.29146044557558
ER,TTLL2,0.337318896333296
ER,PRR26,0.546282834094628
ER,NLRP2,-0.511953552920296
ER,POU3F2,0.0912645770150419
ER,SCAPER,0.761741527312142
ER,TPO,0.0374812848225593
ER,BMPER,0.866735602910081
ER,ZNF491,-0.380291493357452
ER,NDST4,0.329594510198101
ER,SLC30A8,0.393832806246984
ER,BTBD11,0.0774175899465564
ER,SLC6A2,-0.197009653751756
ER,POU4F2,0.158106854694613
ER,CCDC146,-0.147211893107732
ER,ZNF235,-0.0435090816868328
ER,CMIP,0.376933976472481
ER,SEC14L5,-0.156438648419838
ER,PLAC4,-0.0793623064328997
ER,FBXO40,0.475538359217246
ER,GAGE1,0.218907504686838
